id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Clstn2	20	0.086648	0.34126	0.952525	989	13	-3.9472	0.84722	0.8038	0.962166	2382	0	-3.9472
Gabrd	19	0.087167	0.33881	0.952525	990	11	-4.2486	0.68864	0.62341	0.911911	1937	0	-4.2486
Olfr171	15	0.087366	0.3234	0.952525	991	10	-4.1747	0.022086	0.026611	0.873617	70	0	-4.1747
Nmur2	20	0.087395	0.3428	0.952525	992	13	-4.0476	0.98872	0.98181	0.995399	2818	0	-4.0476
Lamp5	20	0.087395	0.3428	0.952525	993	13	-4.014	0.57811	0.52108	0.90617	1624	0	-4.014
Abca1	19	0.087767	0.34053	0.952525	994	12	-4.0724	0.91154	0.88496	0.977873	2582	0	-4.0724
Aplp1	18	0.087769	0.32991	0.952525	995	10	-4.038	0.10336	0.097396	0.882295	305	0	-4.038
Slc4a8	20	0.088073	0.34459	0.952525	996	13	-3.9935	0.7154	0.65321	0.929375	1999	0	-3.9935
Gpr182	20	0.088176	0.34495	0.952525	997	9	-3.5484	0.080685	0.078752	0.879609	230	0	-3.5484
Adam30	20	0.088241	0.34507	0.952525	998	12	-4.1499	0.093188	0.08798	0.879609	265	0	-4.1499
Gprc5a	20	0.088241	0.34507	0.952525	999	12	-4.1019	0.46981	0.41146	0.891333	1309	0	-4.1019
Cuzd1	20	0.088241	0.34507	0.952525	1000	13	-4.1676	0.97775	0.96903	0.993624	2784	0	-4.1676
Cd300c2	20	0.088419	0.34553	0.952525	1001	12	-4.2156	0.10193	0.093562	0.879609	295	0	-4.2156
Slc6a3	18	0.088592	0.33186	0.952525	1002	10	-4.1953	0.32998	0.29874	0.882295	937	0	-4.1953
Pkd1l1	20	0.088762	0.34578	0.952525	1003	10	-3.8707	0.59308	0.53007	0.90617	1651	0	-3.8707
Slc12a9	20	0.088785	0.34598	0.952525	1004	12	-3.9878	0.041069	0.042959	0.873617	115	0	-3.9878
Ccr7	20	0.088785	0.34598	0.952525	1005	8	-3.4202	0.40682	0.35987	0.882295	1152	0	-3.4202
Sdc1	20	0.088934	0.34612	0.952525	1006	13	-4.0632	0.96553	0.95175	0.992009	2740	0	-4.0632
Itga2	20	0.088976	0.3465	0.952525	1007	13	-4.1937	0.77066	0.71122	0.940132	2161	0	-4.1937
Olfr508	20	0.089157	0.34677	0.952525	1008	8	-3.6682	0.62106	0.55482	0.90617	1720	0	-3.6682
Acvr1	18	0.089218	0.33394	0.952525	1009	10	-3.9404	0.56226	0.49541	0.90617	1575	0	-3.9404
Cd34	20	0.089251	0.34703	0.952525	1010	11	-4.091	0.26315	0.26602	0.882295	745	0	-4.091
Slc43a3	20	0.089251	0.34703	0.952525	1011	10	-3.8791	0.036104	0.039129	0.873617	101	0	-3.8791
