,sgRNA,gene,z_scored_sgRNA_lfc
18077,Vienna_GALNT7_2-Vienna_GALNT7_5,GALNT7,-1.5168814016436334
18078,Vienna_GALNT7_3-Vienna_GALNT7_6,GALNT7,-3.5441527372781896
18079,Vienna_GALNT8_1-Vienna_GALNT8_4,GALNT8,-1.0067267707095116
18080,Vienna_GALNT8_2-Vienna_GALNT8_5,GALNT8,0.08555386057505356
18081,Vienna_GALNT8_3-Vienna_GALNT8_6,GALNT8,-0.939359787248812
18082,Vienna_GALNT9_2-Vienna_GALNT9_5,GALNT9,-1.062979752960256
18083,Vienna_GALNT9_3-Vienna_GALNT9_6,GALNT9,-0.4499886270168218
18084,Vienna_GALNTL5_1-Vienna_GALNTL5_4,GALNTL5,-7.696653003015413
18085,Vienna_GALNTL5_2-Vienna_GALNTL5_5,GALNTL5,-1.2764721460502597
18086,Vienna_GALNTL5_3-Vienna_GALNTL5_6,GALNTL5,-1.3568400878360292
18087,Vienna_GALNTL6_1-Vienna_GALNTL6_4,GALNTL6,-1.2024663111530312
18088,Vienna_GALNTL6_2-Vienna_GALNTL6_5,GALNTL6,-2.5877239782555828
18089,Vienna_GALNTL6_3-Vienna_GALNTL6_6,GALNTL6,-0.2932554579703212
18090,Vienna_GALP_1-Vienna_GALP_4,GALP,-1.7501902576900235
18091,Vienna_GALP_2-Vienna_GALP_5,GALP,-3.3743606421413785
18092,Vienna_GALP_3-Vienna_GALP_6,GALP,-0.8475179947194629
18093,Vienna_GALR1_1-Vienna_GALR1_4,GALR1,-0.8348050836211639
18094,Vienna_GALR1_2-Vienna_GALR1_5,GALR1,0.04140894899457827
18095,Vienna_GALR1_3-Vienna_GALR1_6,GALR1,-3.2679249535129404
18096,Vienna_GALR2_1-Vienna_GALR2_4,GALR2,-0.6414539366953919
18097,Vienna_GALR2_2-Vienna_GALR2_5,GALR2,-0.22665385655077147
18098,Vienna_GALR2_3-Vienna_GALR2_6,GALR2,-2.0980139425597057
18099,Vienna_GALR3_1-Vienna_GALR3_4,GALR3,-0.816904144057924
18100,Vienna_GALR3_2-Vienna_GALR3_5,GALR3,-0.44131613011418586
18101,Vienna_GALR3_3-Vienna_GALR3_6,GALR3,-1.2893487531572871
18102,Vienna_GALT_1-Vienna_GALT_4,GALT,-0.08210664688191154
18103,Vienna_GALT_2-Vienna_GALT_5,GALT,-0.790203318843929
18104,Vienna_GALT_3-Vienna_GALT_6,GALT,-1.0395974856839334
18105,Vienna_GAMT_1-Vienna_GAMT_4,GAMT,-7.381531980821252
18106,Vienna_GAMT_2-Vienna_GAMT_5,GAMT,-0.9412112219666217
18107,Vienna_GAMT_3-Vienna_GAMT_6,GAMT,-0.6214953025087743
18108,Vienna_GAN_1-Vienna_GAN_4,GAN,-1.4959011828897568
18109,Vienna_GAN_2-Vienna_GAN_5,GAN,-2.28274623246218
18110,Vienna_GAN_3-Vienna_GAN_6,GAN,-1.546062924590433
18111,Vienna_GANAB_1-Vienna_GANAB_4,GANAB,-4.0835449715099825
18112,Vienna_GANAB_2-Vienna_GANAB_5,GANAB,-3.755588033657401
18113,Vienna_GANC_1-Vienna_GANC_4,GANC,-0.8853043630494627
18114,Vienna_GANC_2-Vienna_GANC_5,GANC,0.7827163120815779
18115,Vienna_GANC_3-Vienna_GANC_6,GANC,-1.5077121036180599
18116,Vienna_GAP43_1-Vienna_GAP43_4,GAP43,-7.650200529832792
