Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
SLC6A4,Jacquere A375,3,-1.7369382291326867,0.05908765718024775,0.19057318706607038
RAB1B,Jacquere A375,3,-2.24656179524795,0.02605269626762592,0.1132347730648821
RAB1A,Jacquere A375,3,-0.4047668401688951,0.31848128791288666,0.4297388828632749
CALR3,Jacquere A375,3,-0.9410899161464482,0.16839070465584222,0.32735523244089015
RAB19,Jacquere A375,3,0.4408015790529194,0.34838898152966796,0.443643802286277
SLC7A10,Jacquere A375,3,0.5845343398840074,0.29545567635582165,0.4179399560020129
RAB18,Jacquere A375,3,-7.846173429073588,2.0823927525223673e-45,4.813321548559053e-44
B3GLCT,Jacquere A375,3,0.9268974480671412,0.17918262149861805,0.3384774181327813
RAB17,Jacquere A375,3,0.27419579776210506,0.41224462979392884,0.46845278207022845
CALU,Jacquere A375,3,1.6382554696884097,0.03678243061237154,0.1431297258690467
SLC7A11,Jacquere A375,3,-0.5884496840337821,0.2593175210705796,0.39624658952881825
RAB15,Jacquere A375,3,1.8835274194169291,0.019714539815692468,0.09220251715873451
RAB14,Jacquere A375,3,-1.1239235287293468,0.1326433007479788,0.2922394557752427
SLC7A13,Jacquere A375,3,0.5843691208302102,0.2955155045810091,0.4179609450273528
RAB13,Jacquere A375,3,-2.223291016895627,0.027229933912389582,0.11695334000311639
CALY,Jacquere A375,3,-0.0057223603991575075,0.4738644775484286,0.4913058925651455
RAB12,Jacquere A375,3,-0.7819226248503981,0.20582286820037768,0.3615345404422114
SLC7A14,Jacquere A375,3,1.1133195120745685,0.1267253763580551,0.28651952700496225
RAB11FIP5,Jacquere A375,3,-3.3904123869618146,0.0035535844571404815,0.024229919214673483
RAB11FIP4,Jacquere A375,3,-0.11415949775614549,0.4291344367202902,0.475105933474099
CAMK1,Jacquere A375,3,-0.664534157616641,0.23723923928342858,0.38304443518062287
B3GAT3,Jacquere A375,3,-2.0387542024178513,0.03785113010982447,0.14608278097496644
SLC7A1,Jacquere A375,3,-8.733314128313891,4.0076953509992065e-69,1.5518118184827037e-67
CALML4,Jacquere A375,4,-2.292432945630304,0.02384734664931961,0.10621680280266851
RAB20,Jacquere A375,3,-0.7448982744923486,0.215385624464683,0.36931455074877645
RAB21,Jacquere A375,3,0.1832206750533938,0.448470641476595,0.4822428693808275
RAB2B,Jacquere A375,3,1.5602039103079959,0.044924648682354795,0.1630612590473634
RAB2A,Jacquere A375,3,-1.6188897975890812,0.06891797603972595,0.20730091840589965
SLC6A5,Jacquere A375,3,-1.3810685977400272,0.09410944988237248,0.24504215190015813
RAB29,Jacquere A375,3,-0.23299738773935355,0.38167635073443956,0.4561701675464021
CALML5,Jacquere A375,2,0.3311330074395065,0.39007465906992483,0.45924302580748405
RAB28,Jacquere A375,3,0.36312505694144726,0.3777825352318005,0.45492898788688835
B3GNT3,Jacquere A375,3,-0.17827510614375974,0.4032345753385839,0.465397570130582
SLC6A6,Jacquere A375,3,0.5424952958186894,0.3107549291166507,0.425864937097125
RAB27B,Jacquere A375,3,0.6981160468241402,0.25495782551660257,0.39347953303053235
RAB27A,Jacquere A375,3,0.02995648848049459,0.48866524639275527,0.49612382120611837
CALML6,Jacquere A375,3,-1.7093320002306935,0.06127780345438586,0.19464875920637928
RAB26,Jacquere A375,3,-2.6568447353899582,0.011529204007960982,0.06149778276644648
SLC6A7,Jacquere A375,3,-2.72578996040785,0.010069875414308607,0.055212580469306036
RAB25,Jacquere A375,3,-2.6697981308858525,0.011238096526136738,0.06026312109883635
RAB24,Jacquere A375,3,-1.4988958614447887,0.0805362289893849,0.22580579319843527
CALN1,Jacquere A375,3,0.13144263212034737,0.4695001842699289,0.48983858596092705
SLC6A8,Jacquere A375,3,-1.3179786362605042,0.1023886111034607,0.2568977106544085
RAB23,Jacquere A375,3,-0.7588814593996757,0.21173640441738345,0.3665381996650344
B3GNT2,Jacquere A375,3,-0.9276592697974522,0.17131785984254136,0.33044211144431285
RAB22A,Jacquere A375,3,-1.3769585999322929,0.09462657282038771,0.24570255123296705
SLC6A9,Jacquere A375,3,-0.5979375710495123,0.2564896268712524,0.39435210438237117
CALR,Jacquere A375,3,-2.5672638102916814,0.013780240949654929,0.07033863196850579
RAB42,Jacquere A375,3,-0.495022153890703,0.28833721077795493,0.41414927743162705
CALHM3,Jacquere A375,3,-1.553165228391531,0.07503720173903414,0.21796227018488232
RAB43,Jacquere A375,3,2.1741514420068797,0.009508142323241367,0.05287035428638851
SLC5A1,Jacquere A375,3,-0.5805353678085867,0.2616929087959737,0.3976211769284857
RAC3,Jacquere A375,3,-0.7512705103765636,0.21371699886406753,0.36794004047842993
RAC2,Jacquere A375,3,0.9303313495957982,0.17812925248349054,0.33771663763824034
CAGE1,Jacquere A375,3,-1.0999974011210232,0.13690160712199934,0.2973605488301468
SLC5A10,Jacquere A375,3,1.192853087048671,0.10753849009787582,0.2638886616578062
RAC1,Jacquere A375,3,-10.050429890992994,2.4774084064260675e-114,5.103701842325702e-112
CAHM,Jacquere A375,3,1.7513396904870195,0.02754259971214044,0.11763816893959501
RABL6,Jacquere A375,3,0.5070761168506484,0.3237614420626693,0.43206509408267685
B4GALNT3,Jacquere A375,3,-0.5702371378031609,0.2648063937623319,0.3994351566577501
SLC5A11,Jacquere A375,3,-0.38206991731610973,0.3263990015029289,0.4335708284018185
RABL3,Jacquere A375,3,-0.8620767744550901,0.1862234782893282,0.3441677217870133
RABL2B,Jacquere A375,3,0.7300290865360864,0.24384539497292823,0.387093922992172
CALB1,Jacquere A375,3,0.0677638908797052,0.49568178104132704,0.49867107280983536
RABL2A,Jacquere A375,3,0.34400763389600497,0.38511408449943446,0.4577233943311208
SLC5A12,Jacquere A375,3,-0.4820823261582751,0.2925288699060217,0.4164912831430986
RABIF,Jacquere A375,3,-2.2392673701652073,0.026417515964039573,0.11432862966366626
